headline,datetime,source,link,sentiment,sentiment_label
"Former Tesla team launches IndustrialMind.ai, raising $1.2M - TNGlobal",2025-10-31 05:19:59,Google News - Company,https://news.google.com/rss/articles/CBMilgFBVV95cUxPcVh3NTFLYjRuOW94ZVhrblhPcm9Iam5xSDcwTkhqcUl2TkM0ZFJUWXZ1TkN1b0ZkNUlnempMbVZ1Ym5RRkIzYmZUblVxWFRCT2hJc0QzV0dNazZMeFltNG1SUXR1SVpDNmsyR3pmUVZ2OElERU14Ry11RkhJUjByT054Q0JnZ25jaW5CSFE5b1ZTckp4NlE?oc=5,0.0,neutral
Carlos Tavares Thinks Tesla Might Be Dead In 10 Years - CleanTechnica,2025-10-31 02:53:28,Google News - Company,https://news.google.com/rss/articles/CBMilgFBVV95cUxPdWJ1WkMxNTRzRm9HSG9JWkx3VkJKTTdkX083OVByOGk1Y3BmaVFUSS1YVmhfN05FQjdtYXV3ZnYxaG84bXgwQjRYY2lnZGM3TDJlNVVoZlBnV29DTzhHZkJMMWF5bHRGZENWeGtCX0RORF9jdXRPakM5LW5QYXBHb05wN1FXQVM2QXdhN012ejhhWXRoQnfSAZsBQVVfeXFMTXNrcXN1RnlrMmdyamhneFY2cFpJQm8yUnQzcmZJaXkxTnpMdDFzS1ItYVVrNUFpSmU5ZjZ3UDBQSDV2a2RlRWVYZEFRcTZOZXk1ZThkTk5EUWtyRTloYWtsTUtJZkxwS2xUWHNsVl9Bd0JISlZxdnZhd2s5Wms0TThBT1VmUmt3WS1FRTNCWVc4THV3NjNqQW1jNk0?oc=5,-0.6486,negative
"Amazon's New AI Chips Could Unlock Billions In Revenue, Analysts Say",2025-10-31 02:31:06,Yahoo Finance - Symbol,https://finance.yahoo.com/news/amazons-ai-chips-could-unlock-023106423.html?.tsrc=rss,0.0,neutral
"Tesla's (TSLA.US) unmanned taxi, Cybercab, will make its debut at the CIIE. - 富途牛牛",2025-10-31 02:26:09,Google News - Symbol,https://news.google.com/rss/articles/CBMinwFBVV95cUxPMTRqemRfZTZXeGUyNUVYVWNjSE0wdEhBVm9hQlcwUS1pZzY4ZkNYUjBhSUVmZ0tQOWd2YVpSQTZJZ2Z4bFZhZlZNdG8zU3kwU2ZwNW9uNkFxX2NsR2RvR3hkdV9KWFpSaG51bU1VVUxBOExKalVxYTVwaE1LRmRmRUg2djFlZ0MyT2lGc0dZRHlyaVpuQURoa1pwa1R1cW8?oc=5,0.0,neutral
Colorado man swapped a Ford F-150 for a Tesla Cybertruck and said the difference was like going from the Victorian era to the future - supercarblondie.com,2025-10-31 02:11:00,Google News - Company,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQZkd3ejktem51eHlKMHg3S2dzWjBlOFh5Vll2UnExcExJQnlGRldEZlFqRE1pcGJZalRoRi16cFlBVlF4akRyRlJMVnlqNWRqNmRCdmF2ejBNNHR3Z1RnNEtuOEp1dU83QnZiUVJOZVFuVk5IUzBmNFdrTnRvRndKWnZlek5tZWFlcEVZUGFHTEtXb1NOUGc1bnppSlJ6VHFjXzF3SWVfWkQ?oc=5,0.3612,positive
Why Shares of Tesla Are Sinking Today - AOL.com,2025-10-31 02:07:19,Google News - Company,https://news.google.com/rss/articles/CBMifkFVX3lxTFBCclVtUUhTQ2FDUi05VGloYTkwaTZnWkZYdHd3UWhzNDY2N2xNeG5XZzY1bEZxY2dWMTFzQVFJOVdBRjc2RE9JeElSbC04bkdZbVVEdXhBa2U2OW56Q21qbzRYa2FpYVFsaHpXRlVIN3RsMFR2WGlObFhPcTNBQQ?oc=5,0.296,positive
"If You Invested $10K In LTC Properties Stock 10 Years Ago, How Much Would You Have Now?",2025-10-31 02:01:10,Yahoo Finance - Symbol,https://finance.yahoo.com/news/invested-10k-ltc-properties-stock-020110202.html?.tsrc=rss,0.0,neutral
Driver fell asleep at wheel of autopilot-driven Tesla before it hit police car - NBC 5 Chicago,2025-10-31 01:31:34,Google News - Company,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOOXRxWnFucTBlZVQwcThpcjRyS1FRSGIyanhTbjhmZS0wZlhnaXJOblNueXFzaDFxODFvc2ZrWnZzRUlGeV9YMUlYTUtzdFR5NjhIWFZyQThGTkU3eUdsUFlkNXMyeDIwTTFSdlZtNDJ5RlBDMEtocXR3bUZPcHZUQUg4aEFSQnpqS3lQeERXWnBTZS1YQVZiUU1ZU1AyQ2hjeEt5WkpLX0tnVW9GOGpZTk96RTdpQXMyR19uVzdlTFJoWmPSAcsBQVVfeXFMTnVGeDcwTlhDOVB3dW1RT3VsdUNGd1FvUm5MdWl3Rmt0M3VDb3Z0dVYxMzJwUzRxWmc1c3R1cDNzd3Jjd3E4VUxLM1h3Z2ZTbE4xOENITEZfTWlGZTM5aXpVdlJscTRTa2J0SC0tUzV4Qk5sTGFkLWN6aE5TdlFwbEVBT2p3bHBUdFpSdk1aNGJ0Q2FfN29qcm9kZTFWX2ZWT2ZNMV9RRWZySlIyYzBZNmxVTUF5NWwxNTBUSHZXeEswYW83clJUV2Rja0k?oc=5,0.0,neutral
Trump Hints At Potential 'Very Large Scale' Alaska Oil And Gas Deal With China,2025-10-31 01:31:19,Yahoo Finance - Symbol,https://finance.yahoo.com/news/trump-hints-potential-very-large-013119652.html?.tsrc=rss,0.0,neutral
"New Mexico to vote against Tesla pay package, PERA considers re-evaluating proxy-voting policy at next meeting - Pensions & Investments",2025-10-31 01:10:33,Google News - Company,https://news.google.com/rss/articles/CBMiugFBVV95cUxOeUExWFJ2U1NPeWVabFhUejNNZVRKZElBNWxJYTN4eTFKM0o1S3V6T1J6RjJCMi1aVjV1NlZ6aUxBM2lsdGxaa0JzNjh1UG1teFEtVjI5SWhzWmVoUTNadUx2YkRlMkNsMlNDMVlsOE1JRW9mYXJFckdSVVVDUnZFdGxIRC1QdXlnUlljd1pGYUZ6dk9NbllnLWQ1MUdTbHNwS2MtbHJldURPQTZ3a0lFelhZbGtPX2phX2c?oc=5,-0.1027,negative
